date,load
2015-06-13 00:00:00+00:00,16981.25
2015-06-14 00:00:00+00:00,14023.708333333334
2015-06-15 00:00:00+00:00,20169.916666666668
2015-06-16 00:00:00+00:00,21255.041666666668
2015-06-17 00:00:00+00:00,21224.708333333332
2015-06-18 00:00:00+00:00,20931.291666666668
2015-06-19 00:00:00+00:00,21033.25
2015-06-20 00:00:00+00:00,15720.166666666666
2015-06-21 00:00:00+00:00,13122.541666666666
2015-06-22 00:00:00+00:00,19458.125
2015-06-23 00:00:00+00:00,20739.541666666668
2015-06-24 00:00:00+00:00,20114.291666666668
2015-06-25 00:00:00+00:00,20344.791666666668
2015-06-26 00:00:00+00:00,20331.541666666668
2015-06-27 00:00:00+00:00,16139.083333333334
2015-06-28 00:00:00+00:00,13884.916666666666
2015-06-29 00:00:00+00:00,20088.25
2015-06-30 00:00:00+00:00,21377.125
2015-07-01 00:00:00+00:00,22205.208333333332
2015-07-02 00:00:00+00:00,22844.791666666668
2015-07-03 00:00:00+00:00,23253.166666666668
2015-07-04 00:00:00+00:00,18539.291666666668
2015-07-05 00:00:00+00:00,16485.0
2015-07-06 00:00:00+00:00,23933.291666666668
2015-07-07 00:00:00+00:00,25652.416666666668
2015-07-08 00:00:00+00:00,25354.375
2015-07-09 00:00:00+00:00,23214.958333333332
2015-07-10 00:00:00+00:00,22312.333333333332
2015-07-11 00:00:00+00:00,17762.0
2015-07-12 00:00:00+00:00,15597.75
2015-07-13 00:00:00+00:00,22780.541666666668
2015-07-14 00:00:00+00:00,24146.833333333332
2015-07-15 00:00:00+00:00,25132.25
2015-07-16 00:00:00+00:00,25437.625
2015-07-17 00:00:00+00:00,25166.25
2015-07-18 00:00:00+00:00,20128.291666666668
2015-07-19 00:00:00+00:00,17606.416666666668
2015-07-20 00:00:00+00:00,24595.666666666668
2015-07-21 00:00:00+00:00,26032.25
2015-07-22 00:00:00+00:00,26447.916666666668
2015-07-23 00:00:00+00:00,26040.916666666668
2015-07-24 00:00:00+00:00,24885.375
2015-07-25 00:00:00+00:00,19063.75
2015-07-26 00:00:00+00:00,15364.458333333334
2015-07-27 00:00:00+00:00,21921.791666666668
2015-07-28 00:00:00+00:00,22750.833333333332
2015-07-29 00:00:00+00:00,22723.416666666668
2015-07-30 00:00:00+00:00,21670.0
2015-07-31 00:00:00+00:00,20010.291666666668
2015-08-01 00:00:00+00:00,15445.083333333334
2015-08-02 00:00:00+00:00,13025.208333333334
2015-08-03 00:00:00+00:00,17970.416666666668
2015-08-04 00:00:00+00:00,19193.166666666668
2015-08-05 00:00:00+00:00,19714.666666666668
2015-08-06 00:00:00+00:00,19991.541666666668
2015-08-07 00:00:00+00:00,19313.5
2015-08-08 00:00:00+00:00,16043.416666666666
2015-08-09 00:00:00+00:00,13985.083333333334
2015-08-10 00:00:00+00:00,14646.291666666666
2015-08-11 00:00:00+00:00,15038.25
2015-08-12 00:00:00+00:00,15702.875
2015-08-13 00:00:00+00:00,15839.583333333334
2015-08-14 00:00:00+00:00,14806.75
2015-08-15 00:00:00+00:00,11847.958333333334
2015-08-16 00:00:00+00:00,10952.0
2015-08-17 00:00:00+00:00,13182.875
2015-08-18 00:00:00+00:00,13536.958333333334
2015-08-19 00:00:00+00:00,13515.666666666666
2015-08-20 00:00:00+00:00,13843.083333333334
2015-08-21 00:00:00+00:00,14166.25
2015-08-22 00:00:00+00:00,12899.458333333334
2015-08-23 00:00:00+00:00,12197.208333333334
2015-08-24 00:00:00+00:00,16440.666666666668
2015-08-25 00:00:00+00:00,17473.583333333332
2015-08-26 00:00:00+00:00,17874.25
2015-08-27 00:00:00+00:00,18557.833333333332
2015-08-28 00:00:00+00:00,18963.208333333332
2015-08-29 00:00:00+00:00,15992.583333333334
2015-08-30 00:00:00+00:00,14385.583333333334
2015-08-31 00:00:00+00:00,20444.833333333332
2015-09-01 00:00:00+00:00,21439.541666666668
2015-09-02 00:00:00+00:00,21803.291666666668
2015-09-03 00:00:00+00:00,21115.708333333332
2015-09-04 00:00:00+00:00,20833.541666666668
2015-09-05 00:00:00+00:00,15964.416666666666
2015-09-06 00:00:00+00:00,13191.833333333334
2015-09-07 00:00:00+00:00,18668.791666666668
2015-09-08 00:00:00+00:00,19651.25
2015-09-09 00:00:00+00:00,20086.833333333332
2015-09-10 00:00:00+00:00,20151.125
2015-09-11 00:00:00+00:00,19951.958333333332
2015-09-12 00:00:00+00:00,15599.625
2015-09-13 00:00:00+00:00,13182.333333333334
2015-09-14 00:00:00+00:00,19152.958333333332
2015-09-15 00:00:00+00:00,20125.041666666668
2015-09-16 00:00:00+00:00,20595.125
2015-09-17 00:00:00+00:00,20759.416666666668
2015-09-18 00:00:00+00:00,19365.291666666668
2015-09-19 00:00:00+00:00,14262.333333333334
2015-09-20 00:00:00+00:00,11940.875
2015-09-21 00:00:00+00:00,18184.583333333332
2015-09-22 00:00:00+00:00,19370.708333333332
2015-09-23 00:00:00+00:00,19531.208333333332
2015-09-24 00:00:00+00:00,18879.291666666668
2015-09-25 00:00:00+00:00,18549.625
2015-09-26 00:00:00+00:00,14798.208333333334
2015-09-27 00:00:00+00:00,12604.041666666666
2015-09-28 00:00:00+00:00,18036.291666666668
2015-09-29 00:00:00+00:00,18808.166666666668
2015-09-30 00:00:00+00:00,19197.541666666668
2015-10-01 00:00:00+00:00,19071.041666666668
2015-10-02 00:00:00+00:00,19137.541666666668
2015-10-03 00:00:00+00:00,14986.416666666666
2015-10-04 00:00:00+00:00,12483.375
2015-10-05 00:00:00+00:00,17669.958333333332
2015-10-06 00:00:00+00:00,19261.833333333332
2015-10-07 00:00:00+00:00,20044.708333333332
2015-10-08 00:00:00+00:00,19942.833333333332
2015-10-09 00:00:00+00:00,19610.791666666668
2015-10-10 00:00:00+00:00,14963.5
2015-10-11 00:00:00+00:00,12493.625
2015-10-12 00:00:00+00:00,18832.375
2015-10-13 00:00:00+00:00,20256.5
2015-10-14 00:00:00+00:00,20136.166666666668
2015-10-15 00:00:00+00:00,19804.125
2015-10-16 00:00:00+00:00,19568.958333333332
2015-10-17 00:00:00+00:00,15284.375
2015-10-18 00:00:00+00:00,12998.625
2015-10-19 00:00:00+00:00,18729.25
2015-10-20 00:00:00+00:00,19771.958333333332
2015-10-21 00:00:00+00:00,19721.041666666668
2015-10-22 00:00:00+00:00,19713.458333333332
2015-10-23 00:00:00+00:00,19340.5
2015-10-24 00:00:00+00:00,14897.25
2015-10-25 00:00:00+00:00,13334.541666666666
2015-10-26 00:00:00+00:00,18798.666666666668
2015-10-27 00:00:00+00:00,19994.75
2015-10-28 00:00:00+00:00,20344.875
2015-10-29 00:00:00+00:00,19886.625
2015-10-30 00:00:00+00:00,18811.5
2015-10-31 00:00:00+00:00,14939.208333333334
2015-11-01 00:00:00+00:00,12226.458333333334
2015-11-02 00:00:00+00:00,18534.708333333332
2015-11-03 00:00:00+00:00,20269.25
2015-11-04 00:00:00+00:00,20444.25
2015-11-05 00:00:00+00:00,20367.25
2015-11-06 00:00:00+00:00,19962.0
2015-11-07 00:00:00+00:00,15424.291666666666
